J_A_per_m,E_V_per_m,Rv_per_s_m2,nf_per_m2,rc_m,lc,K_lc,y_lc
2.3636363636363636e-02,9.4675379626719229e-07,5.0658640024015359e+13,1.3888685264775307e+10,2.2965716402308002e-06,7.7391726986769740e+00,6.1050415451043083e-01,1.4903317277730423e-02
2.4545454545454547e-02,1.0566670656497355e-06,5.8552479621246930e+13,1.4926976064811077e+10,2.2128906113303669e-06,7.7020549087933610e+00,6.1088433493250149e-01,1.4858330624448088e-02
2.5454545454545459e-02,1.1746905264586130e-06,6.7326575868054773e+13,1.6001579887860043e+10,2.1351326393827276e-06,7.6662840499075537e+00,6.1124901052012992e-01,1.4815724984645165e-02
2.6363636363636367e-02,1.3011058720324200e-06,7.7043106980459672e+13,1.7112445110187742e+10,2.0626889694881522e-06,7.6317657355818493e+00,6.1159935992268344e-01,1.4775299847444577e-02
2.7272727272727275e-02,1.4361944939942900e-06,8.7766303124089844e+13,1.8259523155267208e+10,1.9950315987990248e-06,7.5984151681955332e+00,6.1193643441423295e-01,1.4736877732878456e-02
2.8181818181818183e-02,1.5802375016019024e-06,9.9562444227861000e+13,1.9442768240370594e+10,1.9317003073590272e-06,7.5661558823254653e+00,6.1226117544147085e-01,1.4700300881918558e-02
2.9090909090909091e-02,1.7335157394838583e-06,1.1249985798854320e+14,2.0662137151441620e+10,1.8722921117866093e-06,7.5349186874852059e+00,6.1257442926828132e-01,1.4665428511882472e-02
3.0000000000000006e-02,1.8963098039418156e-06,1.2664891804975067e+14,2.1917589042323341e+10,1.8164526295121647e-06,7.5046407734308644e+00,6.1287695927256147e-01,1.4632134526254312e-02
3.0909090909090914e-02,2.0689000579725195e-06,1.4208204234067684e+14,2.3209085255056000e+10,1.7638689614731648e-06,7.4752649489283201e+00,6.1316945633105258e-01,1.4600305592393142e-02
3.1818181818181822e-02,2.2515666451424923e-06,1.5887369156138350e+14,2.4536589158477726e+10,1.7142637905387455e-06,7.4467389907806476e+00,6.1345254763669921e-01,1.4569839519104750e-02
3.2727272727272730e-02,2.4445895024332202e-06,1.7710036780316319e+14,2.5900066002817673e+10,1.6673904600167579e-06,7.4190150844876479e+00,6.1372680422296411e-01,1.4540643880188709e-02
3.3636363636363638e-02,2.6482483721565076e-06,1.9684061329322409e+14,2.7299482788283527e+10,1.6230288474049801e-06,7.3920493414816981e+00,6.1399274741522503e-01,1.4512634840966194e-02
3.4545454545454546e-02,2.8628228130282185e-06,2.1817500925409134e+14,2.8734808145950809e+10,1.5809818873517260e-06,7.3658013806933251e+00,6.1425085438700200e-01,1.4485736153253133e-02
3.5454545454545461e-02,3.0885922104871260e-06,2.4118617487045119e+14,3.0206012229594208e+10,1.5410726276609181e-06,7.3402339644242645e+00,6.1450156296544667e-01,1.4459878290860390e-02
3.6363636363636369e-02,3.3258357863121460e-06,2.6595876635331838e+14,3.1713066617054096e+10,1.5031417253520571e-06,7.3153126802855644e+00,6.1474527580409721e-01,1.4434997702922642e-02
3.7272727272727277e-02,3.5748326076162417e-06,2.9257947609703806e+14,3.3255944220238373e+10,1.4670453078704149e-06,7.2910056623766346e+00,6.1498236401992878e-01,1.4411036166487355e-02
3.8181818181818185e-02,3.8358615952613720e-06,3.2113703192122556e+14,3.4834619202723640e+10,1.4326531387785193e-06,7.2672833460364288e+00,6.1521317037481393e-01,1.4387940223101976e-02
3.9090909090909093e-02,4.1092015317458906e-06,3.5172219639221275e+14,3.6449066904174431e+10,1.3998470385127553e-06,7.2441182514290627e+00,6.1543801206792970e-01,1.4365660686785343e-02
4.0000000000000001e-02,4.3951310686134603e-06,3.8442776621965375e+14,3.8099263770921120e+10,1.3685195197490298e-06,7.2214847919880922e+00,6.1565718319462004e-01,1.4344152212909271e-02
4.0909090909090916e-02,4.6939287334046632e-06,4.1934857172035444e+14,3.9785187291918083e+10,1.3385726040979284e-06,7.1993591043715925e+00,6.1587095691819516e-01,1.4323372919256091e-02
4.1818181818181824e-02,5.0058729362163990e-06,4.5658147635001712e+14,4.1506815939803101e+10,1.3099167926140801e-06,7.1777188970894130e+00,6.1607958739383717e-01,1.4303284051929353e-02
4.2727272727272732e-02,5.3312419758708475e-06,4.9622537629366856e+14,4.3264129116312546e+10,1.2824701672848173e-06,7.1565433153980136e+00,6.1628331147764548e-01,1.4283849689963863e-02
4.3636363636363640e-02,5.6703140457406665e-06,5.3838120011410825e+14,4.5057107101788124e+10,1.2561576044513202e-06,7.1358128204070814e+00,6.1648235024889064e-01,1.4265036483432350e-02
4.4545454545454555e-02,6.0233672392502356e-06,5.8315190845385112e+14,4.6885731008344833e+10,1.2309100842204902e-06,7.1155090806413801e+00,6.1667691036934846e-01,1.4246813420640410e-02
4.5454545454545463e-02,6.3906795550769471e-06,6.3064249378742788e+14,4.8749982736370605e+10,1.2066640824686646e-06,7.0956148745488594e+00,6.1686718530011919e-01,1.4229151620658119e-02
4.6363636363636371e-02,6.7725289020772011e-06,6.8095998022172250e+14,5.0649844934084747e+10,1.1833610341342789e-06,7.0761140026549221e+00,6.1705335639342573e-01,1.4212024147984968e-02
4.7272727272727279e-02,7.1691931039469794e-06,7.3421342333969875e+14,5.2585300959815941e+10,1.1609468582320732e-06,7.0569912082403743e+00,6.1723559387442795e-01,1.4195405846604800e-02
4.8181818181818187e-02,7.5809499036505713e-06,7.9051391008809100e+14,5.4556334846882133e+10,1.1393715364594566e-06,7.0382321055682580e+00,6.1741405772604496e-01,1.4179273191071512e-02
4.9090909090909095e-02,8.0080769676180431e-06,8.4997455870358688e+14,5.6562931270739243e+10,1.1185887384696476e-06,7.0198231148145922e+00,6.1758889848800691e-01,1.4163604152593972e-02
5.0000000000000010e-02,8.4508518897361658e-06,9.1271051867725262e+14,5.8605075518281319e+10,1.0985554878886574e-06,7.0017514029646657e+00,6.1776025797989009e-01,1.4148378078362084e-02
5.0909090909090918e-02,8.9095521951402523e-06,9.7883897075385712e+14,6.0682753459073929e+10,1.0792318639984306e-06,6.9840048300307203e+00,6.1792826995661587e-01,1.4133575582590867e-02
5.1818181818181826e-02,9.3844553438291368e-06,1.0484791269662824e+15,6.2795951518432312e+10,1.0605807347181546e-06,6.9665719000256585e+00,6.1809306070382064e-01,1.4119178447957608e-02
5.2727272727272734e-02,9.8758387340994472e-06,1.1217522306998729e+15,6.4944656652095924e+10,1.0425675171182661e-06,6.9494417161976569e+00,6.1825474957956361e-01,1.4105169536278481e-02
5.3636363636363642e-02,1.0383979705825262e-05,1.1987815567884292e+15,6.7128856322479309e+10,1.0251599622090149e-06,6.9326039400880273e+00,6.1841344950805888e-01,1.4091532707415208e-02
5.4545454545454550e-02,1.0909155543583686e-05,1.2796924116382342e+15,6.9348538476317932e+10,1.0083279611802639e-06,6.9160487540275293e+00,6.1856926743041796e-01,1.4078252745528786e-02
